"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","NK","Platelet"
"PBMC RNA, control 1",0.0831164860387718,0.16728079038361,0.1109422659151,0.0538982155961755,0.181353577407871,0.280821722753317,0.122586941905155
"PBMC RNA, control 10",0.011761652543767,0.178406903237713,0,0,0.289457961329963,0.185596744818765,0.334776738069792
"PBMC RNA, control 11",0.115282781120132,0.337878134751538,0.00196795118382583,0,0.258577062327313,0.0923672415941372,0.193926829023055
"PBMC RNA, control 12",0.115282781120132,0.337878134751538,0.00196795118382583,0,0.258577062327313,0.0923672415941372,0.193926829023055
"PBMC RNA, control 2",0.117202242784286,0.139831135386387,0.131593086668565,0.0367754091077025,0.237568450458212,0.18980127881433,0.147228396780518
"PBMC RNA, control 3",0.103740615562792,0.192980997306842,0.160706222616338,0,0.212567274081126,0.202303336354612,0.12770155407829
"PBMC RNA, control 4",0.171162880248247,0.267650040096839,0.120674169501375,0,0.228471757159239,0.129700786270651,0.0823403667236496
"PBMC RNA, control 5",0.0885058021567666,0.230975334058844,0.120173669333119,0.060737801771142,0.220930202692993,0.124030879034501,0.154646310952634
"PBMC RNA, control 6",0,0.234316527466335,0.285899970954836,0,0.255806677631495,0.0998571852525324,0.124119638694802
"PBMC RNA, control 7",0,0.249809885587311,0,0,0.188571183223383,0.408513889628938,0.153105041560369
"PBMC RNA, control 8",0.017363829790226,0.0126380279856746,0.0448030355768539,3.56469298105925e-16,0.214643957795111,0.200985676849808,0.509565472002326
"PBMC RNA, control 9",0,0,0,0,0.0652293633932364,0,0.934770636606764
"PBMC RNA, ecf 1, 1st visit",9.88695086136504e-13,3.29565028712168e-13,9.88695086136504e-13,0,0,0.523489273114601,0.476510726883092
"PBMC RNA, ecf 1, 2nd visit",0,0,0,0,0,0,0
"PBMC RNA, ecf 2, 1st visit",0.0359367965906945,0.236620994981885,0.0541047096837486,0.0158363216914463,0.344499327047981,0.129062215439865,0.18393963456438
"PBMC RNA, ecf 2, 2nd visit",0.0658894006238645,0.177144024680351,0.11334234577171,0.0435689911992665,0.291343532766548,0.184154984938522,0.124556720019738
"PBMC RNA, ecf 3, 1st visit",0.0994343266283452,0.193200018020248,0.0932797996909049,0.0421152442649805,0.266937357433991,0.157457824384053,0.147575429577477
"PBMC RNA, ecf 3, 2nd visit",0.0803656869986735,0.0825500645100462,0.111856081257673,0.0735455343671482,0.285270395511455,0.183304194943722,0.183108042411282
"PBMC RNA, ecf 4, 1st visit",0,0,0,0,0,0.548028627741276,0.451971372258724
"PBMC RNA, ecf 4, 2nd visit",0.0282042888604353,0.260396333788767,0.0394921817799636,0,0.394217533300987,0.196419665327319,0.081269996942527
"PBMC RNA, ecf 5, 2nd visit",0,0.0275806606542974,0,0,0.0675663959633993,0.238625700477319,0.666227242904985
"PBMC RNA, kat 1, 1st visit",0.0951232844704279,0.107125290206093,0.110390904873542,0.0335044108445095,0.338096227302505,0.150459713483063,0.165300168819858
"PBMC RNA, kat 1, 2nd visit",5.2541131576487e-16,0.12512970815027,0.0684966183932976,0,0.387088530184755,0.0631314580707291,0.356153685200948
"PBMC RNA, kat 2, 1st visit",0.0517229751625764,0.202804778207324,0.0927915668606546,0,0.30528512548591,0.123857720569081,0.223537833714454
"PBMC RNA, kat 2, 2nd visit",0,0.0871491602263326,0,0,0.912488840587462,0.000361999186205106,0
"PBMC RNA, kat 3, 1st visit",0.0992938374459257,0.124059119152191,0.130477643147573,0.0495169675261151,0.274093416816137,0.178993077768885,0.143565938143173
"PBMC RNA, kat 3, 2nd visit",0,0,0,0,0.600428575751281,0,0.399571424248719
"PBMC RNA, kat 4, 1st visit",0,0.39114930700498,0,0,0,0.0708345735549682,0.538016119440052
"PBMC RNA, kat 4, 2nd visit",0,0.088108129027104,0,0,0.0424857262157797,0.182217801935369,0.687188342821748
"PBMC RNA, sri 1, 1st visit",0.0394234853928419,4.01852897131141e-16,0.0973111468747069,0,0.466902225762112,0.18749321883721,0.208869923133128
"PBMC RNA, sri 1, 2nd visit",0.0300802051959544,0.220446069240468,0.219888813740959,0,0.244650818664255,0.132609149804477,0.152324943353886
"PBMC RNA, sri 2, 1st visit",0.0977397912493911,0.133519801518306,0.116125151556883,0.0792057364438787,0.226802729259974,0.117873458369083,0.228733331602483
"PBMC RNA, sri 2, 2nd visit",0,0,0,0,0,0,1
"PBMC RNA, sri 3, 2nd visit",0.0559859953700846,0.00210996457022547,0.106148358308328,0,0.521169951003601,0.180753948885745,0.133831781862016
"PBMC RNA, sri 4, 2nd visit",0.0342496384686097,0.222625378224066,0,0,0.695025940549348,0.0337675709135666,0.014331471844409
"probe_mean_signal",0.0859335540545266,0.168746058850748,0.0783387310209774,0.00858865632753875,0.293139982974095,0.167725206770138,0.197527810001977
