"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","NK","Platelet"
"HC-104",0,0.307902380200968,0.47320890973028,0,0,0.218888710068752,0
"HC-115",0,0.333726443928097,0.399337661653478,0,0,0.266935894418424,0
"HC-172",0.300419658724342,0.446344141302906,0,0,0,0.253236199972753,0
"HC-204",0,0,0,0,0.383441045385538,0,0.616558954614462
"HC-209",0.264989283608386,0,0,0,0.596959866196562,0,0.138050850195052
"HC-216",0,0,0.112681028860364,0,0,0.516007124602629,0.371311846537008
"HC-253",0,0.444088720137369,0.555911279862631,0,0,0,0
"HC-261",0.113167407103081,0,0,0,0.886832592896919,0,0
"HC-262",0,0.00906910077352325,0.374448718177042,0,0,0.582825057764235,0.0336571232851999
"HC-279",1,0,0,0,0,0,0
"HC-284",0,0,0.262892277574139,0,0.194042577798091,0.268716077196817,0.274349067430953
"HC-285",0.589006859473809,0,0.0598392777040045,0,0,0,0.351153862822187
"HC-296",0,0,0.490367246641373,0,0,0.509632753358626,0
"HC-3",0,0,0.328364221568973,0,0,0.671635778431027,0
"HC-321",0,0.465508264117839,0,0,0,0,0.534491735882161
"HC-350",0,0,0,0,1,0,0
"HC-365",0.147585342344407,0,0,0,0.852414657655593,0,0
"HC-418",0,0,0.0302799828139551,0,0,0.809490205369703,0.160229811816342
"HC-45",0.0882690813950998,0.324018780486265,0.0780464962450434,0,0.0222910821497798,0,0.487374559723812
"HC-513",0.232125123654216,0.767874876345784,0,0,0,0,0
"HC-569",0.386322137944346,0.43746153684782,0,0,0.176216325207834,0,0
"HC-592",0.218602073004557,0,0.0610160407619133,0,0,0.651905131112422,0.0684767551211079
"HC-84",0.607841881971523,0.392158118028477,0,0,0,0,0
"HC-88",0,0,0,0,0.234433542377873,0.0261136666193848,0.739452791002742
"BD1-351",0.403526233699223,0.352543517093899,0.243930249206878,0,0,0,0
"BD1-362",0,0.348566103708153,0.20503454378047,0,0,0,0.446399352511377
"BD1-568",0,0,0.00110415974936517,0,0.342563371936337,0.296711071843661,0.359621396470638
"BD1-588",0,0,0,0,0.99665469829316,0,0.00334530170684047
"BD2-231",0,0.645603534406798,0.354396465593202,0,0,0,0
"BD2-244",0,0,0,0.792912036014266,0.0129287400655684,0.094478607493417,0.0996806164267491
"BD2-282",0,0.209509098347497,0.165694285376955,0,0,0.276641409435174,0.348155206840375
"BD2-338",0.497578740334455,0,0,0,0.502421259665545,0,0
"MDD-286",0.376284286968316,0.162205734526748,0,0,0,0,0.461509978504936
"MDD-305",0.623619537512571,0.376380462487429,0,0,0,0,0
"MDD-328",0.0796665367025706,0.135585207832207,0,0,0,0,0.784748255465222
"MDD-329",0.0349747277495647,0.137936190432678,0.311246182573713,0,0,0.164990386759422,0.350852512484623
"MDD-341",0,0,0,0,0.371468693598062,0.628531306401938,0
"MDD-343",0,0.423753788646147,0,0,0,0,0.576246211353853
"MDD-347",0.0358118975975088,0,0.460082860373078,0,0,0.441492907485724,0.0626123345436893
"MDD-369",0.923465724245475,0,0,0.0546381916167357,0.0218960841377897,0,0
"MDD-376",0,1,0,0,0,0,0
"MDD-395",0.806394194589034,0.137111677683541,0.0564941277274251,0,0,0,0
"MDD-397",0,0,0.222297505358491,0,0,0.777702494641509,0
"MDD-398",0,0.473415474941741,0,0,0,0.120349702456186,0.406234822602073
"MDD-402",0,0.467488060297117,0,0,0.532511939702883,0,0
"MDD-407",0,1,0,0,0,0,0
"MDD-425",0,0.303312992721653,0,0,0.669242421235804,0,0.0274445860425424
"MDD-433",0,0,0,0,0.511974956858888,0.488025043141112,0
"MDD-456",0,0,0.51139924270868,0,0,0.48860075729132,0
"MDD-465",0,0.402212452950227,0,0,0.597787547049773,0,0
"MDD-566",0.0335705520602199,0.472023747476568,0.254339294135176,0,0,0,0.240066406328037
"MDD-573",0.551205347674775,0.438456364719827,0,0,0.0103382876053979,0,0
"MDD-580",0,0.154569907765883,0.352421266415009,0,0.441229725295861,0.0517791005232471,0
"probe_mean_signal",0,0.194472805324235,0.18574753982092,0,0.127329456832794,0.338681688389524,0.153768509632528
