"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","Neutrophil","NK","Platelet"
"Z291",0,0,0,0,0.137663081924192,0.862336918075808,0,0
"Z292",0,0.0525744208068652,0,0,0.241598768196727,0.644199661236251,0.0616271497601575,0
"Z293",0,0.0977563541841505,0,0,0.212333630873273,0.689910014942577,0,0
"Z294",0,3.58643326692799e-16,0,0,0.267239560809058,0.732760439190942,0,0
"Z299",0,6.59190027643152e-17,0,0,0.170901456395209,0.82909854360479,0,0
"Z501",0,0.0180262211372293,0.002236911139024,0,0.28579626454879,0.64162536131301,0.0372929927067152,0.0150222491552318
"Z502",0,0,0,0,0.275792611633347,0.724207388366653,0,0
"Z507",0,0,0,0,0.275043896771655,0.711278807346668,0,0.0136772958816765
"Z514",3.55065869768899e-16,0.0615843761356007,0.0128234089634606,0,0.336519919076682,0.433666645851438,0.112001345428979,0.0434043045438393
"Z516",0.0074545383657064,0.0807290902614587,0.0448076654142071,0,0.323362830305538,0.406658196342973,0.100925777198442,0.0360619021116756
"Z518",0.0166655226419455,0.0663887619220256,0.0259457075247775,0,0.264412963973359,0.533878626818911,0.0576628816909863,0.035045535427995
"Z520",0,0,0,0,0.185600856961164,0.814399143038836,0,0
"Z521",0,0,0.00960504250536995,0,0.258045511127628,0.675640552437552,0.0415113934701517,0.015197500459298
"Z523",0.0380450293990614,0.0944511368928365,0.0563863865213493,0.0234731353667016,0.354296285171899,0.259827945016718,0.114816679700046,0.0587034019313877
"Z528",0.023729000744465,0.0441335326504623,0.0868323906090938,0,0.243842494733034,0.403113010860335,0.160544165829276,0.0378054045733335
"Z531",0,0.0245535630522571,0.00782461038033797,0,0.279386899628837,0.662072446905064,0.0261624800335038,0
"Z559",0,0.0119214189095588,0.0358859753300803,0,0.350331140462116,0.392069316648003,0.206869676364218,0.00292247228602427
"Z560",0.0313449740660707,0.0936721326159872,0.0573624193358365,0.013206906546436,0.258248793870008,0.357281249594516,0.136296825310638,0.052586698660507
"Z561",0,5.67018487651758e-16,0.00785356936683038,0,0.31435883914094,0.647717425596167,0.0270949915209586,0.002975174375104
"Z565",0,0,0,0,0.284827207757118,0.672925542035717,0.0422472502071652,0
"Z569",0,0,0,0,0.313517282298907,0.666579960106606,0.0199027575944868,0
"Z570",0.00421307948509529,0.0422796834600574,0.0105232144957172,0,0.310375402881605,0.533207805989743,0.0636794052558958,0.0357214084318862
"Z571",0.0108085289113249,0.0769582420531536,0.0250706818450074,3.78348357011897e-16,0.192370936173599,0.573428693912263,0.0672448302222062,0.054118086882446
"Z572",0,5.21081557782031e-16,0,0,0.350532356859778,0.649467643140222,0,0
"Z575",0.00055500483019015,0.0318134664624159,0.000815248225406105,0,0.299729299586553,0.625035703408192,0.0122849880390991,0.0297662894481433
"Z576",0,0.02743502711152,0,0,0.354493652933959,0.582837885943262,0.0352334340112596,0
"Z577",0,0.0345994418939868,0.0105200844479799,0,0.362835124565006,0.559101394824412,0.0236881965148062,0.009255757753809
