"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","Neutrophil","NK","Platelet"
"S10101",0,0,0.479883327187122,0,0.0439855721353312,0,0.476131100677547,0
"S10306",0.104896704810636,0.437619804048136,0.299403580186458,0,0.0778866638910079,0,0.0801932470637617,0
"S10333",0.0499971304707102,0,0.541612157616227,0,0,0.0829900153424668,0.289859167425394,0.0355415291452021
"S10653",0,0,0,0.586168734453604,0,0,0,0.413831265546396
"S11109",0.112536212117726,0.471984561111918,0,0,0.0224122902678326,0,0.393066936502524,0
"S11294",0.407152988207179,0.119624106872517,0.122964519155654,0.0618149502190276,0,0,0.24988777412534,0.0385556614202824
"S5965",0,0,0,0.00391253839302627,0.251560763544555,0.306945360279852,0,0.437581337782567
"S6053",0,0,0.129162354388571,0,0.560629481191004,0.310208164420425,0,0
"S6070",0,0,0,0.578999228403973,0.076696369550953,0.197768149774861,0,0.146536252270213
"S6078",0,0,0,0.564541711193332,0.0285655896497806,0.406892699156887,0,0
"S6094",0,0.208362663861923,0,0,0.30119217628278,0.352794580797274,0,0.137650579058023
"S6096",0.490147110748823,0.340418051032503,0,0,0,0,0,0.169434838218674
"S6099",0,0.123894167986765,0.173757433934838,0,0,0,0,0.702348398078397
"S6100",0,0,0,0,0.358508866412077,0.641491133587923,0,0
"S6114",0,0,0,0.265738994032609,0,0.323323995985143,0,0.410937009982248
"S6153",0,0,0.268564016440613,0,0.00110892886788624,0,0.730327054691501,0
"S6163",0,0.064114065133395,0,0,0,0.935885934866605,0,0
"S6297",0,0,0,0.506527416952316,0,0.423359656991682,0.070112926056002,0
"S6324",0,0.517742581437519,0,0,0.137135459244072,0,0,0.345121959318409
"S6331",0,0,0.0426330111049189,0.793382644209394,0,0,0.163984344685687,0
"S6334",0,0,0,0,0.807040439301113,0,0,0.192959560698887
"S6462",0.442402329889552,0.519685229017275,0,0,0,0,0.0379124410931726,0
"S6496",0,0,0,0.182938781173565,0.585163422149169,0.231897796677266,0,0
"S6497",0,0,0.0128578368762621,0,0.683043511338958,0.00970851765254717,0.167007892638303,0.12738224149393
"S6519",0,0,0.378557916633965,0,0,0.151735239170604,0.469706844195431,0
"S6563",0,0,0,0.349459235315733,0.50404710942484,0.0565639868673006,0,0.089929668392126
"S6564",0,0,0.202556548778925,0.657379765960808,0.0570147538150367,0.0830489314452301,0,0
"S6565",0.320600175920816,0,0.0372249603744184,0.383853984517039,0,0,0.237662835372094,0.0206580438156328
"S6596",0,0,0.39445615625109,0.29544272627489,0,0.0701220859566095,0.214509961780426,0.0254690697369848
"S6610",0,0,0,0,0.653488047313409,0.346511952686591,0,0
"S6648",0.364350154118483,0.6201587964082,0,0,0,0,0,0.0154910494733172
"S6678",0.101284528338915,0,0,0.0784262141085042,0.156917451372817,0.663371806179764,0,0
"S6682",0.792348343080182,0,0.0777078200972597,0,0,0,0.129943836822559,0
"S6683",0.417615542649185,0.178186140539075,0.220514344167816,0,0,0,0.183683972643924,0
"S6729",0,0,0.154509263971585,0,0.290674615075668,0.19368919184299,0.361126929109757,0
"S6753",0.309637726308472,0.433553607829039,0,0,0,0,0,0.256808665862489
"S6778",0.210215090800093,0,0,0,0.333584532681255,0.0830542735773717,0,0.373146102941281
"S7017",0.564200926773144,0.251324030659942,0,0,0.0684262138836581,0.116048828683257,0,0
"S7032",0.35981525307161,0,0.0221277148611893,0.292892412282713,0,0.230602935079835,0.0945616847046532,0
"S7052",0.580422753781254,0.22623888115646,0.0292182479529595,0,0,0,0.164120117109327,0
"S7058",0,0,0,0,0.480372664032022,0.383253131418196,0.136374204549781,0
"S7059",0,0,0,0.39282575192569,0.101247592279627,0.189389871405236,0,0.316536784389448
"S7190",0,0,0,0.442880060912568,0.40499583216602,0.152124106921412,0,0
"S7216",0.146367455565787,0.853632544434213,0,0,0,0,0,0
"S7239",0,0,0.0594129061539528,0.00302861833532991,0.215815246243533,0.173854953999117,0.302484086987115,0.245404188280952
"S7241",0,0,0.293555042039652,0,0,0,0.320163754464633,0.386281203495715
"S7262",0,0,0,0.164068065069713,0,0.506136392752428,0,0.329795542177859
"S7305",0.326878368652074,0.11998814683126,0,0,0.0675401063483444,0.12878758886191,0,0.356805789306412
"S7326",0,0,0,0,0.67232534316031,0.327674656839689,0,0
"S7395",0.287047184916636,0,0,0.710976148515578,0,0,0,0.00197666656778657
"S7406",0,0,0,0,0.112401427491034,0.00500253200787134,0,0.882596040501095
"S7427",0,0.738039794860937,0.261960205139063,0,0,0,0,0
"S7458",0.427547150231211,0.572452849768789,0,0,0,0,0,0
"S7465",0.0192151227300148,0,0.130870154110315,0,0,0.372423074778203,0.477491648381468,0
"S7470",0,0,0.02917903960644,0.920392179077613,0,0.0504287813159476,0,0
"S7528",0.390311934244539,0.383494731153307,0.035357182751443,0.185291102650168,0,0,0.00554504920054232,0
"S7858",0.199439664548428,0.251856173361052,0.204071797631714,0,0,0,0.344632364458806,0
"S8357",0,0.039748156737995,0,0,0.960251843262005,0,0,0
"S8369",0,0,0,0,1,0,0,0
